CURSO_ACADEMICO,LOCALIDAD,ESTUDIO,TIPO_ESTUDIO,TIPO_EGRESO,SEXO,ALUMNOS_GRADUADOS,ALUMNOS_INTERRUMPEN_ESTUDIOS,ALUMNOS_INTERRUMPEN_EST_ANO1,ALUMNOS_TRASLADAN_OTRA_UNIV,DURACION_MEDIA_GRADUADOS,TASA_EFICIENCIA,FECHA_ACTUALIZACION
2021,Teruel,Máster: Innovación y Emprendimiento en Tecnologías para la Salud y el Bienestar,Máster,Graduado,Hombres,2,0,0,0,"1,00","100,00",30/10/2022
2021,Teruel,"Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport",Máster,Graduado,Hombres,1,0,0,0,"1,00","100,00",30/10/2022
2021,Teruel,"Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport",Máster,Graduado,Mujeres,8,0,0,0,"1,12","98,77",30/10/2022
2021,Teruel,Máster: Psicología General Sanitaria,Máster,Graduado,Hombres,2,0,0,0,"3,00","88,24",30/10/2022
2021,Teruel,Máster: Psicología General Sanitaria,Máster,Graduado,Mujeres,27,0,0,0,"2,11","98,54",30/10/2022
2021,Zaragoza,Ciencias Empresariales,Licenciatura o equivalente,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Zaragoza,Derecho,Licenciatura o equivalente,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Zaragoza,Derecho,Licenciatura o equivalente,Traslado a otra Universidad,Mujeres,0,0,0,5,,,30/10/2022
2021,Zaragoza,Diplomado Ciencias Empresariales,Diplomatura o equivalente,Traslado a otra Universidad,Mujeres,0,0,0,1,,,30/10/2022
2021,Zaragoza,Doctorado: PD Bioquímica y biología molecular [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Bioquímica y biología molecular [RD 99/2011],Doctorado,Graduado,Hombres,1,0,0,0,"4,08",,30/10/2022
2021,Zaragoza,Doctorado: PD Bioquímica y biología molecular [RD 99/2011],Doctorado,Graduado,Mujeres,12,0,0,0,"4,44",,30/10/2022
2021,Zaragoza,"Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011]",Doctorado,Abandono Voluntario,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,"Doctorado: PD Calidad, seguridad y tecnología de los alimentos [RD 99/2011]",Doctorado,Graduado,Mujeres,2,0,0,0,"4,08",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencia analítica en química [RD 99/2011],Doctorado,Graduado,Hombres,5,0,0,0,"4,23",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencia analítica en química [RD 99/2011],Doctorado,Graduado,Mujeres,3,0,0,0,"3,81",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011],Doctorado,Graduado,Hombres,1,0,0,0,"6,88",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011],Doctorado,Graduado,Mujeres,3,0,0,0,"4,72",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias agrarias y del medio natural [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011],Doctorado,Graduado,Hombres,2,0,0,0,"5,76",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011],Doctorado,Graduado,Mujeres,3,0,0,0,"5,29",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias biomédicas y biotecnológicas [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la antigüedad [RD 99/2011],Doctorado,Abandono Voluntario,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la antigüedad [RD 99/2011],Doctorado,Graduado,Mujeres,1,0,0,0,"3,68",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la antigüedad [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,3,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la antigüedad [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,3,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Abandono Voluntario,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Graduado,Hombres,9,0,0,0,"4,88",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Graduado,Mujeres,6,0,0,0,"5,17",,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,2,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Ciencias de la salud y del deporte [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Contabilidad y finanzas [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,3,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Contabilidad y finanzas [RD 99/2011],Doctorado,Graduado,Hombres,2,0,0,0,"3,68",,30/10/2022
2021,Zaragoza,Doctorado: PD Contabilidad y finanzas [RD 99/2011],Doctorado,Graduado,Mujeres,4,0,0,0,"4,39",,30/10/2022
2021,Zaragoza,Doctorado: PD Contabilidad y finanzas [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,3,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Abandono Voluntario,Mujeres,0,4,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Graduado,Hombres,6,0,0,0,"3,82",,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Graduado,Mujeres,4,0,0,0,"3,92",,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,3,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Derecho [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,5,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Derechos humanos y libertades fundamentales [RD 99/2011],Doctorado,Graduado,Hombres,2,0,0,0,"5,68",,30/10/2022
2021,Zaragoza,Doctorado: PD Derechos humanos y libertades fundamentales [RD 99/2011],Doctorado,Graduado,Mujeres,2,0,0,0,"5,93",,30/10/2022
2021,Zaragoza,Doctorado: PD Derechos humanos y libertades fundamentales [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Abandono Voluntario,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Graduado,Hombres,4,0,0,0,"5,22",,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Graduado,Mujeres,1,0,0,0,"4,84",,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Hombres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía [RD 99/2011],Doctorado,Incumple Régimen de permanencia,Mujeres,0,1,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía y gestión de las organizaciones [RD 99/2011],Doctorado,Abandono Voluntario,Hombres,0,4,0,0,,,30/10/2022
2021,Zaragoza,Doctorado: PD Economía y gestión de las organizaciones [RD 99/2011],Doctorado,Abandono Voluntario,Mujeres,0,1,0,0,,,30/10/2022
